Date,Open
6/01/2015,15.112
7/01/2015,14.875
8/01/2015,15.016
9/01/2015,15.074
12/01/2015,14.878
13/01/2015,14.874
14/01/2015,14.5965
15/01/2015,14.7
16/01/2015,14.314
20/01/2015,14.6295
21/01/2015,14.482
22/01/2015,15
23/01/2015,15.404
26/01/2015,15.591
27/01/2015,15.315
28/01/2015,15.4905
29/01/2015,15.2365
30/01/2015,17.316
2/02/2015,17.502501
3/02/2015,18.0145
4/02/2015,17.919001
5/02/2015,18.299999
6/02/2015,18.7435
9/02/2015,18.549999
10/02/2015,18.5595
11/02/2015,18.561501
12/02/2015,18.754999
13/02/2015,18.9205
17/02/2015,18.886
18/02/2015,18.688999
19/02/2015,18.6745
20/02/2015,18.931
23/02/2015,19.172001
24/02/2015,18.932501
25/02/2015,18.863501
26/02/2015,19.203501
27/02/2015,19.200001
2/03/2015,19.0425
3/03/2015,19.1975
4/03/2015,19.2855
5/03/2015,19.2805
6/03/2015,19.275999
9/03/2015,18.92
10/03/2015,18.872499
11/03/2015,18.5305
12/03/2015,18.441
13/03/2015,18.576
16/03/2015,18.518999
17/03/2015,18.5555
18/03/2015,18.498501
19/03/2015,18.693501
20/03/2015,18.814501
23/03/2015,18.9035
24/03/2015,18.699499
25/03/2015,18.758499
26/03/2015,18.4795
27/03/2015,18.355499
30/03/2015,18.5935
31/03/2015,18.662001
1/04/2015,18.605
2/04/2015,18.525
6/04/2015,18.504999
7/04/2015,18.807501
8/04/2015,18.733
9/04/2015,19.033001
10/04/2015,19.2155
13/04/2015,19.1765
14/04/2015,19.175501
15/04/2015,19.2325
16/04/2015,19.1845
17/04/2015,19.1315
20/04/2015,18.9275
21/04/2015,19.5655
22/04/2015,19.595501
23/04/2015,19.5105
24/04/2015,21.950001
27/04/2015,22.193001
28/04/2015,21.925501
29/04/2015,21.3375
30/04/2015,21.355499
1/05/2015,21.191
4/05/2015,21.24
5/05/2015,21.1425
6/05/2015,21.071501
7/05/2015,21.2075
8/05/2015,21.5375
11/05/2015,21.6255
12/05/2015,21.554001
13/05/2015,21.499001
14/05/2015,21.4725
15/05/2015,21.4
18/05/2015,21.299999
19/05/2015,21.2435
20/05/2015,21.030001
21/05/2015,21.4
22/05/2015,21.577499
26/05/2015,21.309999
27/05/2015,21.372499
28/05/2015,21.4855
29/05/2015,21.3615
1/06/2015,21.52
2/06/2015,21.5035
3/06/2015,21.719999
4/06/2015,21.719999
5/06/2015,21.483
8/06/2015,21.281
9/06/2015,21.148001
10/06/2015,21.323
11/06/2015,21.6145
12/06/2015,21.5625
15/06/2015,21.382999
16/06/2015,21.2075
17/06/2015,21.417999
18/06/2015,21.514999
19/06/2015,22.013
22/06/2015,21.85
23/06/2015,21.779499
24/06/2015,22.248501
25/06/2015,21.9035
26/06/2015,22.087999
29/06/2015,21.749001
30/06/2015,21.709999
1/07/2015,21.967501
2/07/2015,21.85
6/07/2015,21.761499
7/07/2015,21.784
8/07/2015,21.717501
9/07/2015,21.745001
10/07/2015,22.0245
13/07/2015,22.414499
14/07/2015,23.115999
15/07/2015,23.152
16/07/2015,23.275
17/07/2015,23.885
20/07/2015,24.6285
21/07/2015,24.395
22/07/2015,24.2995
23/07/2015,24.583
24/07/2015,28.949499
27/07/2015,26.387501
28/07/2015,26.799999
29/07/2015,26.546
30/07/2015,26.3825
31/07/2015,26.9545
3/08/2015,26.872499
4/08/2015,26.484501
5/08/2015,26.940001
6/08/2015,26.965
7/08/2015,26.458
10/08/2015,26.426001
11/08/2015,26.182501
12/08/2015,26.1875
13/08/2015,26.3685
14/08/2015,26.4125
17/08/2015,26.564501
18/08/2015,26.752001
19/08/2015,26.687
20/08/2015,26.519501
21/08/2015,25.368
24/08/2015,23.179001
25/08/2015,24.3745
26/08/2015,24.201
27/08/2015,25.685499
28/08/2015,25.875
31/08/2015,25.822001
1/09/2015,24.957001
2/09/2015,25.254499
3/09/2015,25.725
4/09/2015,24.8825
8/09/2015,25.4345
9/09/2015,26.200001
10/09/2015,25.7575
11/09/2015,26.053499
14/09/2015,26.472
15/09/2015,26.1625
16/09/2015,26.099001
17/09/2015,26.349001
18/09/2015,26.731001
21/09/2015,27.216499
22/09/2015,26.9855
23/09/2015,26.915001
24/09/2015,26.5275
25/09/2015,27.1285
28/09/2015,26.000999
29/09/2015,25.299999
30/09/2015,25.271999
1/10/2015,25.549999
2/10/2015,25.6495
5/10/2015,26.849501
6/10/2015,27.275
7/10/2015,27.0895
8/10/2015,26.835501
9/10/2015,26.724001
12/10/2015,26.997999
13/10/2015,27.313
14/10/2015,27.566999
15/10/2015,27.387501
16/10/2015,28.2635
19/10/2015,28.538
20/10/2015,28.6
21/10/2015,28.193501
22/10/2015,28.135
23/10/2015,30.884001
26/10/2015,30.115
27/10/2015,30.43
28/10/2015,30.615
29/10/2015,30.885
30/10/2015,31.300501
2/11/2015,31.356501
3/11/2015,31.4765
4/11/2015,31.388
5/11/2015,32.355
6/11/2015,32.75
9/11/2015,32.932499
10/11/2015,32.550499
11/11/2015,33.162498
12/11/2015,33.650002
13/11/2015,33.178501
16/11/2015,32.046001
17/11/2015,32.532501
18/11/2015,32.3255
19/11/2015,33.2495
20/11/2015,33.396999
23/11/2015,33.575001
24/11/2015,33.707001
25/11/2015,33.75
27/11/2015,34.040001
30/11/2015,33.794998
1/12/2015,33.6875
2/12/2015,34.049999
3/12/2015,33.972
4/12/2015,33.299999
7/12/2015,33.737
8/12/2015,33.156502
9/12/2015,33.900002
10/12/2015,33.279499
11/12/2015,32.561501
14/12/2015,32.087502
15/12/2015,33.251499
16/12/2015,33.178001
17/12/2015,34
18/12/2015,33.432499
21/12/2015,33.424999
22/12/2015,33.341499
23/12/2015,33.325001
24/12/2015,33.1675
28/12/2015,33.278
29/12/2015,33.898998
30/12/2015,34.594501
31/12/2015,34.304001
4/01/2016,32.814499
5/01/2016,32.342999
6/01/2016,31.1
7/01/2016,31.09
8/01/2016,30.983
11/01/2016,30.624001
12/01/2016,31.262501
13/01/2016,31.044001
14/01/2016,29.012501
15/01/2016,28.612
19/01/2016,28.8545
